单品编码,分类名称,日期,进价,建议定价,预测销量,加权进价,加权定价,毛利
102900005115168,花叶类,2023-07-01,2.2,3.9204000000000003,7.8975954,17.37470989227295,30.961733028030398,13.587023135757448
102900005115199,花叶类,2023-07-01,14.71,26.213220000000003,3.2677948,48.06926220655441,85.65942525207997,37.59016304552556
102900005115250,食用菌,2023-07-01,14.71,24.62454,6.804544,100.09484182834626,167.55876522065162,67.46392339230536
102900005115625,花叶类,2023-07-01,3.0,5.346,2.3850858,7.1552574634552,12.750668799877166,5.595411336421967
102900005115748,花叶类,2023-07-01,2.64,4.70448,9.315439,24.592759552001954,43.82429752166748,19.231537969665528
102900005115762,花叶类,2023-07-01,2.21,3.93822,10.449978,23.09445110321045,41.15431186592102,18.05986076271057
102900005115779,花叶类,2023-07-01,5.68,10.12176,4.803864,27.285947532653807,48.62355850318909,21.33761097053528
102900005115786,花叶类,2023-07-01,2.15,3.8312999999999997,16.567049,35.619155406951904,63.47333493518829,27.854179528236386
102900005115793,花叶类,2023-07-01,11.82,21.06324,2.551118,30.154213542938233,53.73480853351593,23.580594990577698
102900005115816,花叶类,2023-07-01,4.47,7.96554,5.6257005,25.146881117820737,44.81174215195656,19.664861034135818
102900005115823,花叶类,2023-07-01,4.09,7.28838,5.832851,23.85636031627655,42.51203408360481,18.655673767328263
102900005115854,花叶类,2023-07-01,2.29,4.08078,2.9436176,6.740884263515473,12.01225575758457,5.271371494069099
102900005115861,花叶类,2023-07-01,2.0,3.564,5.2765117,10.553023338317871,18.805487588882446,8.252464250564575
102900005115878,花叶类,2023-07-01,8.42,15.00444,8.31717,70.03057260513306,124.79448038234712,54.76390777721406
102900005115885,花叶类,2023-07-01,6.22,11.08404,3.8136525,23.720918645858763,42.27067702692032,18.549758381061555
102900005115908,花叶类,2023-07-01,4.62,8.23284,4.2342644,19.562301406860353,34.86002110702515,15.297719700164793
102900005115946,花叶类,2023-07-01,3.12,5.55984,7.4408474,23.21544387817383,41.36992099090576,18.154477112731936
102900005115960,花叶类,2023-07-01,1.64,2.9224799999999997,11.51785,18.889273872375487,33.66068604057312,14.77141216819763
